,text,airline_sentiment
0,@virginamerica what @dhepburn said.,neutral
1,@virginamerica plus you have added commercials to the experience... tacky.,negative
2,@virginamerica i did not today... must mean i need to take another trip!,neutral
3,@virginamerica it is really aggressive to blast obnoxious entertainment in your guests faces amp; they have little recourse,negative
4,@virginamerica and it is a really big bad thing about it,negative
5,@virginamerica seriously would pay 30 a flight for seats that did not have this playing.it is really the only bad thing about flying va,negative
6,@virginamerica yes nearly every time i fly vx this ear worm wont go away :),positive
7,@virginamerica really missed a prime opportunity for men without hats parody there. ,neutral
8,@virginamerica well i did notbut now i do! :d,positive
9,@virginamerica it was amazing and arrived an hour early. you are too good to me.,positive
10,@virginamerica did you know that suicide is the second leading cause of death among teens 1024,neutral
11,@virginamerica i lt;3 pretty graphics. so much better than minimal iconography. :d,positive
12,@virginamerica this is such a great deal! already thinking about my 2nd trip to @australia amp; i have not even gone on my 1st trip yet! ;p,positive
13,@virginamerica @virginmedia I am flying your fabulous seductive skies again! u take all the stress away from travel ,positive
14,@virginamerica thanks!,positive
15,@virginamerica sfopdx schedule is still mia.,negative
16,@virginamerica so excited for my first cross country flight lax to mco I have heard nothing but great things about virgin america. 29daystogo,positive
17,@virginamerica  i flew from nyc to sfo last week and could not fully sit in my seat due to two large gentleman on either side of me. help!,negative
18,i  flying @virginamerica. ,neutral
19,@virginamerica you know what would be amazingly awesome? bosfll please!!!!!!! i want to fly with only you.,positive
20,@virginamerica why are your first fares in may over three times more than other carriers when all seats are available to select???,negative
21,@virginamerica i love this graphic. ,positive
22,@virginamerica i love the hipster innovation. you are a feel good brand.,positive
23,@virginamerica will you be making bosgt;las non stop permanently anytime soon?,neutral
24,@virginamerica you guys messed up my seating.. i reserved seating with my friends and you guys gave my seat away ...  i want free internet,negative
25,@virginamerica status match program.  i applied and it is been three weeks.  called and emailed with no response.,negative
26,@virginamerica what happened 2 ur vegan food options?! at least say on ur site so i know i will not be able 2 eat anything for next 6 hrs fail,negative
27,@virginamerica do you miss me? do not worry we will be together very soon.,neutral
28,@virginamerica amazing to me that we cannot get any cold air from the vents. vx358 noair worstflightever roasted sfotobos,negative
29,@virginamerica lax to ewr  middle seat on a red eye. such a noob maneuver. sendambien andchexmix,neutral
30,@virginamerica hi! i just bked a cool birthday trip with you but i cannot add my elevate no. cause i entered my middle name during flight booking problems ,negative
31,@virginamerica are the hours of operation for the club at sfo that are posted online current?,neutral
32,@virginamerica help left expensive headphones on flight 89 iad to lax today. seat 2a. no one answering lamp;f number at lax!,negative
33,@virginamerica awaiting my return phone call just would prefer to use your online selfservice option :(,negative
34,@virginamerica this is great news!  america could start flights to hawaii by end of year  via @pacificbiznews,positive
35,nice rt @virginamerica: vibe with the moodlight from takeoff to touchdown. moodlitmonday sciencebehindtheexperience ,neutral
36,@virginamerica moodlighting is the only way to fly! best experience ever! cool and calming.  moodlitmonday,positive
37,@virginamerica @freddieawards done and done! best airline around hands down!,positive
38,@virginamerica when can i book my flight to hawaii??,neutral
39,@virginamerica your chat support is not working on your site: ,negative
40,@virginamerica view of downtown los angeles the hollywood sign and beyond that rain in the mountains! ,positive
41,@virginamerica hey first time flyer next week  excited! but I am having a hard time getting my flights added to my elevate account. help?,negative
42,@virginamerica plz help me win my bid upgrade for my flight 227 laxgt;sea!!!  ,neutral
43,@virginamerica i have an unused ticket but moved to a new city where you do not fly. how can i fly with you before it expires? travelhelp,neutral
44,@virginamerica are flights leaving dallas for seattle on time feb 24?,neutral
45,@virginamerica I am elevategold for a good reason: you rock!!,positive
46,@virginamerica  dream  ,neutral
47,@virginamerica wow this just blew my mind,positive
48,@virginamerica @ladygaga @carrieunderwood after last night tribute soundofmusic oscars2015 @ladygaga! i think @carrieunderwood agree,neutral
49,@virginamerica @ladygaga @carrieunderwood all were entertaining,neutral
50,@virginamerica is flight 769 on it is way? was supposed to take off 30 minutes ago. website still shows on time not in flight. thanks.,neutral
51,@virginamerica @ladygaga @carrieunderwood julie andrews all the way though @ladygaga was very impressive! no to @carrieunderwood,positive
52,@virginamerica wish you flew out of atlanta... soon?,neutral
53,@virginamerica @ladygaga @carrieunderwood julie andrews. hands down.,neutral
54,@virginamerica will flights be leaving dallas for la on february 24th?,neutral
55,@virginamerica hi! I am so excited about your 99 lgagt;dal deal but I have been trying 2 book since last week amp; the page never loads. thx!,negative
56,@virginamerica you know it. need it on my spotify stat guiltypleasures,positive
57,@virginamerica @ladygaga @carrieunderwood  I am lady gaga!!! she is amazing! ,positive
58,@virginamerica @ladygaga @carrieunderwood  carrie!,neutral
59,@virginamerica new marketing song?  let us know what you think?,neutral
60,@virginamerica @ladygaga @carrieunderwood julie andrews first but lady gaga wowd me last night. carrie? meh.,neutral
61,@virginamerica i called a 34 weeks ago about adding 3 flights from 2014 to my elevate...they still have not shown up...help!,negative
62,@virginamerica @ladygaga @carrieunderwood all are great  but i have to go with carrieunderwood ,neutral
63,@virginamerica @ladygaga @carrieunderwood sorry mary martin had it first!,neutral
64,@virginamerica @ladygaga @carrieunderwood  love all three but you really cannot beat the classics!,positive
65,@virginamerica flight 0736 dal to dca 224 2:10pm. tried to check in could not. status please.,neutral
66,@virginamerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :,negative
67,@virginamerica hi virgin! I am on hold for 4050 minutes  are there any earlier flights from la to nyc tonight; earlier than 11:50pm?,negative
68,@virginamerica congrats on winning the @travelzoo award for best deals from an airline (us) ,positive
69,@virginamerica everything was fine until you lost my bag,negative
70,@virginamerica need to change reservation. have virgin credit card. do i need to modify on phone to waive change fee? or can i do online?,neutral
71,@virginamerica i emailed your customer service team. let me know if you need the tracking number.,neutral
72,@virginamerica hi i just booked a flight but need to add baggage how can i do this?,neutral
73,@virginamerica your airline is awesome but your lax loft needs to step up its game. 40 for dirty tables and floors? ,negative
74,@virginamerica not worried it is been a great ride in a new plane with great crew. all airlines should be like this.,positive
75,@virginamerica awesome. i flew yall sat morning. any way we can correct my bill ?,positive
